id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,year
1136583,2018,Mumbai,2018-04-24,League,Rashid Khan,Wankhede Stadium,SRH,MI,MI,field,SRH,runs,31.0,119.0,20.0,N,,C Shamshuddin,S Ravi,2018
1136584,2018,Bengaluru,2018-04-25,League,MS Dhoni,M Chinnaswamy Stadium,RCB,CSK,CSK,field,CSK,wickets,5.0,206.0,20.0,N,,NJ Llong,VK Sharma,2018
1136585,2018,Hyderabad,2018-04-26,League,AS Rajpoot,Rajiv Gandhi International Stadium,SRH,PBKS,PBKS,field,SRH,runs,13.0,133.0,20.0,N,,CK Nandan,YC Barde,2018
1136586,2018,Delhi,2018-04-27,League,SS Iyer,Arun Jaitley Stadium,DC,KKR,KKR,field,DC,runs,55.0,220.0,20.0,N,,C Shamshuddin,S Ravi,2018
1136587,2018,Pune,2018-04-28,League,RG Sharma,Maharashtra Cricket Association Stadium,CSK,MI,MI,field,MI,wickets,8.0,170.0,20.0,N,,CB Gaffaney,Nitin Menon,2018
1136588,2018,Jaipur,2018-04-29,League,KS Williamson,Sawai Mansingh Stadium,SRH,RR,SRH,bat,SRH,runs,11.0,152.0,20.0,N,,BNJ Oxenford,A Nand Kishore,2018
1136589,2018,Bengaluru,2018-04-29,League,CA Lynn,M Chinnaswamy Stadium,RCB,KKR,KKR,field,KKR,wickets,6.0,176.0,20.0,N,,AK Chaudhary,NJ Llong,2018
1136590,2018,Pune,2018-04-30,League,SR Watson,Maharashtra Cricket Association Stadium,CSK,DC,DC,field,CSK,runs,13.0,212.0,20.0,N,,AY Dandekar,C Shamshuddin,2018
1136591,2018,Bengaluru,2018-05-01,League,TG Southee,M Chinnaswamy Stadium,RCB,MI,MI,field,RCB,runs,14.0,168.0,20.0,N,,M Erasmus,Nitin Menon,2018
1136592,2018,Delhi,2018-05-02,League,RR Pant,Arun Jaitley Stadium,DC,RR,RR,field,DC,runs,4.0,151.0,12.0,N,D/L,CK Nandan,VK Sharma,2018
